"number","image_file","caption_file","article_slug","post_number","type","caption","url"
"048","048.png","048-caption.txt","meta-business-portfolio-setup-guide","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/meta-business-portfolio-setup-guide

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/meta-business-portfolio-setup-guide"
"049","049.png","049-caption.txt","meta-business-portfolio-setup-guide","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: The Meta setup mistake that locks agencies out before they even start

Read it here: https://jdesigns.info/blog/meta-business-portfolio-setup-guide

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/meta-business-portfolio-setup-guide"
"050","050.png","050-caption.txt","meta-business-portfolio-setup-guide","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

The Meta setup mistake that locks agencies out before they even start

Free guide: https://jdesigns.info/blog/meta-business-portfolio-setup-guide

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/meta-business-portfolio-setup-guide"
"051","051.png","051-caption.txt","does-your-agency-own-your-meta-account","01","Pain Point","If you've ever worked with a marketing agency, there's a chance they own your Meta ad account — and you don't.

The #1 Meta setup mistake — agencies building client assets inside their own Business Portfolio. Here's how to check who owns yours and what to do if it's not you.

Start with the free Meta Business Access Checklist before you create another ad account.

Read it here: https://jdesigns.info/blog/does-your-agency-own-your-meta-account

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/does-your-agency-own-your-meta-account"
"052","052.png","052-caption.txt","does-your-agency-own-your-meta-account","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: If you've ever worked with a marketing agency, there's a chance they own your Meta ad account — and you don't.

https://jdesigns.info/blog/does-your-agency-own-your-meta-account

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/does-your-agency-own-your-meta-account"
"053","053.png","053-caption.txt","does-your-agency-own-your-meta-account","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/does-your-agency-own-your-meta-account

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/does-your-agency-own-your-meta-account"
"054","054.png","054-caption.txt","does-your-agency-own-your-meta-account","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: If you've ever worked with a marketing agency, there's a chance they own your Meta ad account — and you don't.

Read it here: https://jdesigns.info/blog/does-your-agency-own-your-meta-account

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/does-your-agency-own-your-meta-account"
"055","055.png","055-caption.txt","does-your-agency-own-your-meta-account","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

If you've ever worked with a marketing agency, there's a chance they own your Meta ad account — and you don't.

Free guide: https://jdesigns.info/blog/does-your-agency-own-your-meta-account

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/does-your-agency-own-your-meta-account"
"056","056.png","056-caption.txt","meta-verified-tiers-small-business","01","Pain Point","$14 a month or $500 a month — what each Meta Verified tier actually gets your small business

4 tiers from $14–$500/month. Here's what each one actually includes, which one makes sense for a small business running ads, and the one timing rule you have to know.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/meta-verified-tiers-small-business

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/meta-verified-tiers-small-business"
"057","057.png","057-caption.txt","meta-verified-tiers-small-business","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: $14 a month or $500 a month — what each Meta Verified tier actually gets your small business

https://jdesigns.info/blog/meta-verified-tiers-small-business

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/meta-verified-tiers-small-business"
"058","058.png","058-caption.txt","meta-verified-tiers-small-business","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/meta-verified-tiers-small-business

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/meta-verified-tiers-small-business"
"059","059.png","059-caption.txt","meta-verified-tiers-small-business","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: $14 a month or $500 a month — what each Meta Verified tier actually gets your small business

Read it here: https://jdesigns.info/blog/meta-verified-tiers-small-business

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/meta-verified-tiers-small-business"
"060","060.png","060-caption.txt","meta-verified-tiers-small-business","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

$14 a month or $500 a month — what each Meta Verified tier actually gets your small business

Free guide: https://jdesigns.info/blog/meta-verified-tiers-small-business

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/meta-verified-tiers-small-business"
"061","061.png","061-caption.txt","instagram-wont-connect-meta-business-suite-fix","01","Pain Point","Instagram won't connect in Meta Business Suite. Check these first.

Most Instagram connection errors in Meta Business Suite have a specific, fixable cause. Here are the four most common reasons and how to resolve each one.

Use the free Meta checklist to untangle the Page, Instagram, and Business Portfolio connection.

Read it here: https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix"
"062","062.png","062-caption.txt","instagram-wont-connect-meta-business-suite-fix","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: Instagram won't connect in Meta Business Suite. Check these first.

https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix"
"063","063.png","063-caption.txt","instagram-wont-connect-meta-business-suite-fix","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix"
"064","064.png","064-caption.txt","instagram-wont-connect-meta-business-suite-fix","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: Instagram won't connect in Meta Business Suite. Check these first.

Read it here: https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix"
"065","065.png","065-caption.txt","instagram-wont-connect-meta-business-suite-fix","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

Instagram won't connect in Meta Business Suite. Check these first.

Free guide: https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/instagram-wont-connect-meta-business-suite-fix"
"066","066.png","066-caption.txt","instagram-algorithm-2026-shares-first","01","Pain Point","Instagram changed what it shows people — and most small businesses still don't know.

Likes don't matter anymore. Instagram's 2026 algorithm shift made shares the #1 distribution signal. Here's what changed, why it matters, and what to create instead.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/instagram-algorithm-2026-shares-first

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/instagram-algorithm-2026-shares-first"
"067","067.png","067-caption.txt","instagram-algorithm-2026-shares-first","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: Instagram changed what it shows people — and most small businesses still don't know.

https://jdesigns.info/blog/instagram-algorithm-2026-shares-first

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/instagram-algorithm-2026-shares-first"
"068","068.png","068-caption.txt","instagram-algorithm-2026-shares-first","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/instagram-algorithm-2026-shares-first

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/instagram-algorithm-2026-shares-first"
"069","069.png","069-caption.txt","instagram-algorithm-2026-shares-first","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: Instagram changed what it shows people — and most small businesses still don't know.

Read it here: https://jdesigns.info/blog/instagram-algorithm-2026-shares-first

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/instagram-algorithm-2026-shares-first"
"070","070.png","070-caption.txt","instagram-algorithm-2026-shares-first","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

Instagram changed what it shows people — and most small businesses still don't know.

Free guide: https://jdesigns.info/blog/instagram-algorithm-2026-shares-first

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/instagram-algorithm-2026-shares-first"
"071","071.png","071-caption.txt","how-to-use-instagram-trial-reels","01","Pain Point","Instagram's Trial Reels feature is the lowest-risk way to test content you've ever had.

Trial Reels let you test new content with non-followers first. If it flops, your existing audience never sees it. Here's how to use the feature and what to test with it.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/how-to-use-instagram-trial-reels

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/how-to-use-instagram-trial-reels"
"072","072.png","072-caption.txt","how-to-use-instagram-trial-reels","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: Instagram's Trial Reels feature is the lowest-risk way to test content you've ever had.

https://jdesigns.info/blog/how-to-use-instagram-trial-reels

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/how-to-use-instagram-trial-reels"
"073","073.png","073-caption.txt","how-to-use-instagram-trial-reels","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/how-to-use-instagram-trial-reels

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/how-to-use-instagram-trial-reels"
"074","074.png","074-caption.txt","how-to-use-instagram-trial-reels","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: Instagram's Trial Reels feature is the lowest-risk way to test content you've ever had.

Read it here: https://jdesigns.info/blog/how-to-use-instagram-trial-reels

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/how-to-use-instagram-trial-reels"
"075","075.png","075-caption.txt","how-to-use-instagram-trial-reels","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

Instagram's Trial Reels feature is the lowest-risk way to test content you've ever had.

Free guide: https://jdesigns.info/blog/how-to-use-instagram-trial-reels

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/how-to-use-instagram-trial-reels"
"076","076.png","076-caption.txt","instagram-carousel-strategy-2026","01","Pain Point","The carousel is still Instagram's highest-save format in 2026.

Carousels get saved more than any other Instagram format — if they're built right. Here's the structure that drives saves, the slide count that performs, and what most people get wrong on slide 1.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/instagram-carousel-strategy-2026

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/instagram-carousel-strategy-2026"
"077","077.png","077-caption.txt","instagram-carousel-strategy-2026","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: The carousel is still Instagram's highest-save format in 2026.

https://jdesigns.info/blog/instagram-carousel-strategy-2026

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/instagram-carousel-strategy-2026"
"078","078.png","078-caption.txt","instagram-carousel-strategy-2026","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/instagram-carousel-strategy-2026

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/instagram-carousel-strategy-2026"
"079","079.png","079-caption.txt","instagram-carousel-strategy-2026","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: The carousel is still Instagram's highest-save format in 2026.

Read it here: https://jdesigns.info/blog/instagram-carousel-strategy-2026

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/instagram-carousel-strategy-2026"
"080","080.png","080-caption.txt","instagram-carousel-strategy-2026","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

The carousel is still Instagram's highest-save format in 2026.

Free guide: https://jdesigns.info/blog/instagram-carousel-strategy-2026

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/instagram-carousel-strategy-2026"
"081","081.png","081-caption.txt","content-pillars-for-small-business","01","Pain Point","3 to 4 content pillars. Every post has a job. No filler.

Posting without content pillars means every post starts from scratch. Here's how to build 3–4 content pillars for a service business and make sure every post has a job.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/content-pillars-for-small-business

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/content-pillars-for-small-business"
"082","082.png","082-caption.txt","content-pillars-for-small-business","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: 3 to 4 content pillars. Every post has a job. No filler.

https://jdesigns.info/blog/content-pillars-for-small-business

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/content-pillars-for-small-business"
"083","083.png","083-caption.txt","content-pillars-for-small-business","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/content-pillars-for-small-business

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/content-pillars-for-small-business"
"084","084.png","084-caption.txt","content-pillars-for-small-business","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: 3 to 4 content pillars. Every post has a job. No filler.

Read it here: https://jdesigns.info/blog/content-pillars-for-small-business

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/content-pillars-for-small-business"
"085","085.png","085-caption.txt","content-pillars-for-small-business","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

3 to 4 content pillars. Every post has a job. No filler.

Free guide: https://jdesigns.info/blog/content-pillars-for-small-business

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/content-pillars-for-small-business"
"086","086.png","086-caption.txt","canva-grow-vs-meta-ads-strategist","01","Pain Point","Canva just added a button that pushes ads straight to Meta. So do you still need a strategist?

Canva Grow lets you design and publish ads in one tool. Here's what it actually does, what it doesn't do, and where a strategist still matters in 2026.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist"
"087","087.png","087-caption.txt","canva-grow-vs-meta-ads-strategist","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: Canva just added a button that pushes ads straight to Meta. So do you still need a strategist?

https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist"
"088","088.png","088-caption.txt","canva-grow-vs-meta-ads-strategist","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist"
"089","089.png","089-caption.txt","canva-grow-vs-meta-ads-strategist","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: Canva just added a button that pushes ads straight to Meta. So do you still need a strategist?

Read it here: https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist"
"090","090.png","090-caption.txt","canva-grow-vs-meta-ads-strategist","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

Canva just added a button that pushes ads straight to Meta. So do you still need a strategist?

Free guide: https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/canva-grow-vs-meta-ads-strategist"
"091","091.png","091-caption.txt","canva-ai-2-whats-new-2026","01","Pain Point","Canva AI 2.0: what's actually new and what it means for small business content.

Canva's 2026 AI upgrade added Magic Studio Pro, video generation, and brand voice. Here's what's genuinely useful, what the tradeoffs are, and the Meta disclosure rule you can't skip.

Read the full free guide on jdesigns.info.

Read it here: https://jdesigns.info/blog/canva-ai-2-whats-new-2026

#MetaAds #FacebookAds #SmallBusinessMarketing #JDesignsStrategist","https://jdesigns.info/blog/canva-ai-2-whats-new-2026"
"092","092.png","092-caption.txt","canva-ai-2-whats-new-2026","02","Mistake","Most Meta problems get worse when you start clicking before you know what layer is broken.

This guide breaks down the issue in plain English: Canva AI 2.0: what's actually new and what it means for small business content.

https://jdesigns.info/blog/canva-ai-2-whats-new-2026

#MetaBusinessSuite #MetaAdsHelp #FacebookBusiness #SmallBusinessOwner","https://jdesigns.info/blog/canva-ai-2-whats-new-2026"
"093","093.png","093-caption.txt","canva-ai-2-whats-new-2026","03","Checklist","Before you appeal, rebuild, reconnect, or scale, slow down and check the setup.

I wrote this guide for small business owners who need a clear next step, not more Meta confusion.

https://jdesigns.info/blog/canva-ai-2-whats-new-2026

#MetaTips #FacebookAdsManager #MarketingHelp #BusinessOwnerTips","https://jdesigns.info/blog/canva-ai-2-whats-new-2026"
"094","094.png","094-caption.txt","canva-ai-2-whats-new-2026","04","Truth","Meta warnings are rarely written in normal human language.

That is why I built a free guide for this exact issue: Canva AI 2.0: what's actually new and what it means for small business content.

Read it here: https://jdesigns.info/blog/canva-ai-2-whats-new-2026

#MetaAdsStrategy #DigitalMarketingTips #InstagramForBusiness #FacebookAdsTips","https://jdesigns.info/blog/canva-ai-2-whats-new-2026"
"095","095.png","095-caption.txt","canva-ai-2-whats-new-2026","05","CTA","If this is happening in your account, start here instead of guessing inside Business Suite.

Canva AI 2.0: what's actually new and what it means for small business content.

Free guide: https://jdesigns.info/blog/canva-ai-2-whats-new-2026

#MetaBusiness #FacebookAdsHelp #InstagramBusiness #SmallBusinessSupport","https://jdesigns.info/blog/canva-ai-2-whats-new-2026"
